"allgenes.Sample" "allgenes.Score" "allgenes.Class" "perturbedgenes.Sample" "perturbedgenes.Score" "perturbedgenes.Class"
"LAIV_037_Curettage_Visit1" 6.00571239355789 "Adults" "LAIV_037_Curettage_Visit1" 12.7588674825677 "Adults"
"LAIV_038_Curettage_Visit1" 6.608139950467 "Adults" "LAIV_038_Curettage_Visit1" 14.6003739722225 "Adults"
"LAIV_039_Curettage_Visit1" 5.51026793931522 "Adults" "LAIV_039_Curettage_Visit1" 11.0728573685533 "Adults"
"LAIV_040_Curettage_Visit1" 4.89423610680841 "Adults" "LAIV_040_Curettage_Visit1" 9.76121045971503 "Adults"
"LAIV_041_Curettage_1" 0.80244017265326 "Adults" "LAIV_041_Curettage_1" 1.41820817877844 "Adults"
"LAIV_042_Curettage_1" 1.10495709384063 "Adults" "LAIV_042_Curettage_1" 2.00012551688761 "Adults"
"LAIV_043_Curettage_1" 0.863467648015043 "Adults" "LAIV_043_Curettage_1" 1.61018908574432 "Adults"
"LAIV_044_Curettage_1" 0.727361411106878 "Adults" "LAIV_044_Curettage_1" 1.31445903636179 "Adults"
"LAIV_045_Curettage_1" 2.18930160921184 "Adults" "LAIV_045_Curettage_1" 3.84007141809074 "Adults"
"LAIV_046_Curettage_1" 0.929905784880553 "Adults" "LAIV_046_Curettage_1" 1.65167508740414 "Adults"
"LAIV_047_Curettage_1" 0.753422213591919 "Adults" "LAIV_047_Curettage_1" 1.42635899654029 "Adults"
"LAIV_048_Curettage_Visit1" 0.491388300039894 "Adults" "LAIV_048_Curettage_Visit1" 0.858426612965597 "Adults"
"LAIV_049_Curettage_1" 0.860195023613278 "Adults" "LAIV_049_Curettage_1" 1.46730501551896 "Adults"
"S00212688B" 2.24047477841456 "Older" "S00212688B" 6.23165696257655 "Older"
"S00218518B" 2.3374072091481 "Older" "S00218518B" 6.72141267565859 "Older"
"S00218519B" 2.28323360542861 "Older" "S00218519B" 6.4578708282044 "Older"
"S00218890B" 2.07501371314501 "Older" "S00218890B" 6.02932309155679 "Older"
"S00219107B" 2.14683535191114 "Older" "S00219107B" 6.15706531917064 "Older"
"S00220548B" 2.1461357708814 "Older" "S00220548B" 6.24892697569395 "Older"
"S00220551B" 3.00739753303438 "Older" "S00220551B" 6.41551148512808 "Older"
"S00223499B" 2.2088166583393 "Older" "S00223499B" 6.05201056753696 "Older"
"S00223500B" 2.26782056477024 "Older" "S00223500B" 6.48070643537122 "Older"
"S00223966B" 2.15616618750502 "Older" "S00223966B" 6.22424230434108 "Older"
"S00224135B" 2.39137041890379 "Older" "S00224135B" 6.5909478905681 "Older"
"S00231883B" 2.17030376434121 "Older" "S00231883B" 6.33217865458848 "Older"
"S00231884B" 2.26021799899457 "Older" "S00231884B" 5.90002018221617 "Older"
"S00231885B" 2.207545960343 "Older" "S00231885B" 6.30675732656608 "Older"
"S00232387B" 2.2458621953312 "Older" "S00232387B" 6.42930980564689 "Older"
"S00232388B" 2.28496903727963 "Older" "S00232388B" 6.45709479480766 "Older"
"S00232389B" 2.13206405649796 "Older" "S00232389B" 6.12948356020921 "Older"
"S00233190B" 2.14107175075936 "Older" "S00233190B" 6.19566011813882 "Older"
"S00234376B" 2.24088522585307 "Older" "S00234376B" 6.44197944416098 "Older"
"S00234869B" 2.15177430400651 "Older" "S00234869B" 6.18156398900187 "Older"
"S00234870B" 2.20550471918329 "Older" "S00234870B" 6.21954377613108 "Older"
"S00234871B" 2.26281398680529 "Older" "S00234871B" 6.280722687118 "Older"
"S00235875B" 2.20779057348838 "Older" "S00235875B" 6.44220625446449 "Older"
"S00236150B" 3.29141842098831 "Older" "S00236150B" 6.6823963837649 "Older"
"S00237730B" 2.16866288704913 "Older" "S00237730B" 6.29532646120732 "Older"
"S00237731B" 2.15992679065615 "Older" "S00237731B" 6.13447130733213 "Older"
"S00242459B" 2.55028384956161 "Older" "S00242459B" 6.44024232368029 "Older"
"S00242467B" 2.1142478878345 "Older" "S00242467B" 6.11668328490866 "Older"
"S00242897B" 2.34187534968787 "Older" "S00242897B" 6.58966020168943 "Older"
"S00242981B" 2.55301352215273 "Older" "S00242981B" 5.97679528490014 "Older"
